renset,learningRate,batchsize,,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50
classic,0.1,16,loss,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463548,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547,0.463547
classic,0.1,16,accuracy,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812
classic,0.1,16,val_loss,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911,0.464911
classic,0.1,16,val_accuracy,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658
classic,0.01,16,loss,0.470496,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085
classic,0.01,16,accuracy,0.222706,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557
classic,0.01,16,val_loss,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140
classic,0.01,16,val_accuracy,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045
classic,0.001,16,loss,0.486238,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192
classic,0.001,16,accuracy,0.148656,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903
classic,0.001,16,val_loss,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380
