renset,learningRate,batchsize,,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50
classic,0.1,16,loss,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
classic,0.1,16,accuracy,0.349389,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812,0.357812
classic,0.1,16,val_loss,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
classic,0.1,16,val_accuracy,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658
classic,0.01,16,loss,0.468380,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085,0.470085
classic,0.01,16,accuracy,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557,0.224557
classic,0.01,16,val_loss,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140,0.471140
classic,0.01,16,val_accuracy,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045,0.226045
classic,0.001,16,loss,0.305589,0.277031,0.275281,0.274489,0.273711,0.273154,0.272704,0.272325,0.272042,0.271720,0.271345,0.271219,0.270818,0.270411,0.270110,0.269886,0.269556,0.269372,0.269082,0.268828,0.268727,0.268411,0.268185,0.267912,0.267780,0.267562,0.267344,0.267302,0.267183,0.266912,0.266717,0.266573,0.266418,0.266231,0.266135,0.266022,0.265900,0.265694,0.265572,0.265553,0.265326,0.265262,0.265219,0.265045,0.264853,0.264832,0.264570,0.264584,0.264630,0.264521
classic,0.001,16,accuracy,0.311508,0.436571,0.463299,0.473192,0.482297,0.492792,0.496066,0.503205,0.505415,0.505982,0.511246,0.509974,0.515909,0.520850,0.524263,0.524853,0.532698,0.531599,0.534132,0.539316,0.537615,0.546443,0.545344,0.550701,0.550134,0.553918,0.556024,0.554450,0.556509,0.562757,0.562468,0.565604,0.568959,0.572014,0.569642,0.573286,0.573738,0.578343,0.579187,0.577996,0.583399,0.583295,0.583769,0.587067,0.590237,0.589589,0.595305,0.592736,0.590341,0.594611
